,기간,지역,인구
0,2009,서울,10208302.0
1,2009,부산,3543030.0
2,2009,대구,2489781.0
3,2009,인천,2710579.0
4,2009,광주,1433640.0
5,2009,대전,1484180.0
6,2009,울산,1114866.0
7,2009,세종,
8,2009,경기,11460610.0
9,2009,강원,1512870.0
10,2009,충북,1527478.0
11,2009,충남,2037582.0
12,2009,전북,1854508.0
13,2009,전남,1913004.0
14,2009,경북,2669876.0
15,2009,경남,3250176.0
16,2009,제주,562663.0
17,2010,서울,10312545.0
18,2010,부산,3567910.0
19,2010,대구,2511676.0
20,2010,인천,2758296.0
21,2010,광주,1454636.0
22,2010,대전,1503664.0
23,2010,울산,1126298.0
24,2010,세종,
25,2010,경기,11786622.0
26,2010,강원,1529818.0
27,2010,충북,1549528.0
28,2010,충남,2075514.0
29,2010,전북,1868963.0
30,2010,전남,1918485.0
31,2010,경북,2689920.0
32,2010,경남,3290536.0
33,2010,제주,571255.0
34,2011,서울,10249679.0
35,2011,부산,3550963.0
36,2011,대구,2507271.0
37,2011,인천,2801274.0
38,2011,광주,1463464.0
39,2011,대전,1515603.0
40,2011,울산,1135494.0
41,2011,세종,
42,2011,경기,11937415.0
43,2011,강원,1536448.0
44,2011,충북,1562903.0
45,2011,충남,2101284.0
46,2011,전북,1874031.0
47,2011,전남,1914339.0
48,2011,경북,2699195.0
49,2011,경남,3308765.0
50,2011,제주,576156.0
51,2012,서울,10195318.0
52,2012,부산,3538484.0
53,2012,대구,2505644.0
54,2012,인천,2843981.0
55,2012,광주,1469216.0
56,2012,대전,1524583.0
57,2012,울산,1147256.0
58,2012,세종,113117.0
59,2012,경기,12093299.0
60,2012,강원,1538630.0
61,2012,충북,1565628.0
62,2012,충남,2028777.0
63,2012,전북,1873341.0
64,2012,전남,1909618.0
65,2012,경북,2698353.0
66,2012,경남,3319314.0
67,2012,제주,583713.0
68,2013,서울,10143645.0
69,2013,부산,3527635.0
70,2013,대구,2501588.0
71,2013,인천,2879782.0
72,2013,광주,1472910.0
73,2013,대전,1532811.0
74,2013,울산,1156480.0
75,2013,세종,122153.0
76,2013,경기,12234630.0
77,2013,강원,1542263.0
78,2013,충북,1572732.0
79,2013,충남,2047631.0
80,2013,전북,1872965.0
81,2013,전남,1907172.0
82,2013,경북,2699440.0
83,2013,경남,3333820.0
84,2013,제주,593806.0
85,2014,서울,10103233.0
86,2014,부산,3519401.0
87,2014,대구,2493264.0
88,2014,인천,2902608.0
89,2014,광주,1475884.0
90,2014,대전,1531809.0
91,2014,울산,1166377.0
92,2014,세종,156125.0
93,2014,경기,12357830.0
94,2014,강원,1544442.0
95,2014,충북,1578933.0
96,2014,충남,2062273.0
97,2014,전북,1871560.0
98,2014,전남,1905780.0
99,2014,경북,2700794.0
100,2014,경남,3350257.0
