,기간,지역,미세먼지
0,2010,서울,59
1,2010,대구,56
2,2010,인천,64
3,2010,광주,46
4,2010,대전,48
5,2010,울산,46
6,2010,경기,68
7,2010,강원,62
8,2010,충북,77
9,2010,충남,45
10,2010,전북,55
11,2010,전남,46
12,2010,경북,50
13,2010,경남,45
14,2010,제주,54
15,2010,서울,50
16,2010,대구,49
17,2010,인천,54
18,2010,광주,39
19,2010,대전,39
20,2010,울산,44
21,2010,경기,56
22,2010,강원,55
23,2010,충북,62
24,2010,충남,40
25,2010,전북,47
26,2010,전남,40
27,2010,경북,47
28,2010,경남,42
29,2010,제주,41
30,2010,서울,61
31,2010,대구,69
32,2010,인천,67
33,2010,광주,65
34,2010,대전,52
35,2010,울산,60
36,2010,경기,67
37,2010,강원,70
38,2010,충북,73
39,2010,충남,57
40,2010,전북,62
41,2010,전남,58
42,2010,경북,62
43,2010,경남,61
44,2010,제주,71
45,2010,서울,49
46,2010,대구,47
47,2010,인천,55
48,2010,광주,42
49,2010,대전,41
50,2010,울산,47
51,2010,경기,57
52,2010,강원,58
53,2010,충북,63
54,2010,충남,47
55,2010,전북,52
56,2010,전남,39
57,2010,경북,48
58,2010,경남,45
59,2010,제주,47
60,2010,서울,56
61,2010,대구,55
62,2010,인천,62
63,2010,광주,62
64,2010,대전,52
65,2010,울산,54
66,2010,경기,66
67,2010,강원,60
68,2010,충북,67
69,2010,충남,52
70,2010,전북,66
71,2010,전남,51
72,2010,경북,54
73,2010,경남,52
74,2010,제주,58
75,2010,서울,51
76,2010,대구,47
77,2010,인천,57
78,2010,광주,39
79,2010,대전,40
80,2010,울산,50
81,2010,경기,62
82,2010,강원,48
83,2010,충북,60
84,2010,충남,46
85,2010,전북,61
86,2010,전남,37
87,2010,경북,44
88,2010,경남,43
89,2010,제주,37
90,2010,서울,33
91,2010,대구,36
92,2010,인천,37
93,2010,광주,27
94,2010,대전,26
95,2010,울산,39
96,2010,경기,41
97,2010,강원,33
98,2010,충북,37
99,2010,충남,29
100,2010,전북,36
101,2010,전남,27
102,2010,경북,33
103,2010,경남,36
104,2010,제주,31
105,2010,서울,32
106,2010,대구,38
107,2010,인천,37
108,2010,광주,28
109,2010,대전,27
110,2010,울산,40
111,2010,경기,39
112,2010,강원,32
113,2010,충북,37
114,2010,충남,30
115,2010,전북,35
116,2010,전남,30
117,2010,경북,33
118,2010,경남,36
119,2010,제주,29
120,2010,서울,25
